year,id,make,model,default_model_images
1971-1976,47,Alfa Romeo,2000 GTV,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
1962-1968,51,Alfa Romeo,2600,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
2015-2021,54,Alfa Romeo,4C,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
1975-1977,55,Alfa Romeo,Alfetta,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
1969-1974,56,Alfa Romeo,Berlina,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
2006-2009,57,Alfa Romeo,Brera,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
1966-1968,58,Alfa Romeo,Duetto 1600 Spider,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
2017-2023,61,Alfa Romeo,Giulia,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
2012-2019,64,Alfa Romeo,Giulietta,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str-nmr.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri-nmr.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to-nmr.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to-nmr.webp"
2003-2010,68,Alfa Romeo,GT,"http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-2to.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkgr-str.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-bkrd-str.webp,http://www.coverland.com/pub/media/category-images-new/01-str-grbk.webp,http://www.coverland.com/pub/media/category-images-new/premium-plus-grbk-tri.webp,http://www.coverland.com/pub/media/category-images-new/premium-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-pro-gr-1to.webp,http://www.coverland.com/pub/media/category-images-new/standard-gr-1to.webp"
